user_id,user_name,team,shift
U001,Allison Hill,Refund Team A,Day Shift
U002,Noah Rhodes,AR Calling Team,Day Shift
U003,Angie Henderson,Refund Team B,Day Shift
U004,Daniel Wagner,Refund Team A,Day Shift
U005,Cristian Santos,Credit Balance Team,Day Shift
U006,Connie Lawrence,Refund Team A,Day Shift
U007,Abigail Shaffer,Refund Team B,Day Shift
U008,Gina Moore,Refund Team A,Day Shift
U009,Gabrielle Davis,Credit Balance Team,Day Shift
U010,Ryan Munoz,Credit Balance Team,Night Shift
U011,Monica Herrera,Refund Team A,Day Shift
U012,Jamie Arnold,Credit Balance Team,Night Shift
U013,Lisa Hensley,AR Calling Team,Day Shift
U014,Michele Williams,Refund Team B,Night Shift
U015,Dylan Miller,Refund Team A,Day Shift
U016,Brian Ramirez,Credit Balance Team,Day Shift
U017,Holly Wood,AR Calling Team,Night Shift
U018,Derek Zuniga,AR Calling Team,Day Shift
U019,Lisa Jackson,Credit Balance Team,Day Shift
U020,Carla Gray,Credit Balance Team,Day Shift
